period,n_rows,qty_total,qty_not_late,not_late_unit_weighted_pct,not_late_row_weighted_pct
2025-05_to_2026-04,2069,13068.0,11684.0,89.41,86.52
2026-05_to_2026-12,751,2675.0,1531.0,57.23,80.69
