year,n_page_source_11_57am,not_late_pct_row_weighted_page_source_11_57am,not_late_pct_unit_weighted_page_source_11_57am,total_qty_assessable_page_source_11_57am,n_validator_fresh_pull,not_late_pct_row_weighted_validator_fresh_pull,not_late_pct_unit_weighted_validator_fresh_pull,total_qty_assessable_validator_fresh_pull
2023,8845,74.98021481062747,55.43608687969344,1080897.0,8845,74.98021481062747,55.43608687969344,1080897.0
2024,9509,94.089809654012,97.2991419831917,1113498.0,9509,94.089809654012,97.2991419831917,1113498.0
2025,10190,95.58390578999018,98.888625500973,1269779.0,10194,95.58563861094764,98.88865000744208,1269807.0
2026,7403,95.92057274078076,98.25470602923718,913084.0,8336,95.96928982725528,98.29112966266943,1037469.0
