itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT230394,Inside Group,MTS,P1749,Sale,2024-02-29,2024-01-04,2024-01-04,43515.0,6.0
CT-F-99-020501,PEM102-OLD,Omni Channel,Actual,CT230366,Inside Group,MTS,P2063,Sale,2024-02-29,2024-01-04,2024-01-04,335823.5,50.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT230236,Inside Group,MTS,P3555,Sale,2024-02-29,2024-01-04,2024-01-04,854631.0,100.0
CT-F-99-020514,PEM102-OLD,Omni Channel,Actual,CT230388,Inside Group,MTO,P8916,Sale,2024-02-29,2024-01-04,2024-01-04,133483.8,20.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240020,Contractor,MTS,P15837,Sale,2024-01-25,2024-01-04,2024-01-04,19507.37,1.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT230368,Contractor,MTS,P1747,Sale,2024-01-25,2024-01-04,2024-01-04,20554.65,3.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT230194,Smart Shop,MTS,P3555,Sale,2024-01-10,2024-01-04,2024-01-04,34187.52,4.0
CT-F-99-020502,PEM102-OLD,Omni Channel,Actual,"CT230311,CT230359",Smart Shop,MTS,P1744,Sale,2024-01-10,2024-01-04,2024-01-04,29712.4,4.0
RS-F-99-070005,PEM102-OLD,Omni Channel,Actual,RS240019,Inside Group,MTS,P1796,Sale,2024-02-29,2024-01-04,2024-01-04,19347.0,60.0
RS-F-99-070003,PEM102-OLD,Omni Channel,Actual,RS240023,Inside Group,MTS,P0752,Sale,2024-02-29,2024-01-04,2024-01-04,168210.0,450.0
RS-F-99-070006,PEM102-OLD,Omni Channel,Actual,RS240024,Inside Group,MTS,P1089,Sale,2024-02-29,2024-01-04,2024-01-04,106635.0,300.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240013,Inside Group,MTS,P1748,Sale,2024-03-20,2024-01-04,2024-01-04,42688.02,6.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT240014,Inside Group,MTS,P1749,Sale,2024-03-20,2024-01-04,2024-01-04,43515.0,6.0
RS-F-99-070002,PEM102-OLD,Omni Channel,Actual,RS240022,Inside Group,MTS,P1799,Sale,2024-02-29,2024-01-04,2024-01-04,38880.0,90.0
CT-F-99-020501,PEM102-OLD,Omni Channel,Actual,CT240011,Inside Group,MTS,P2063,Sale,2024-03-20,2024-01-04,2024-01-04,268658.8,40.0
RS-F-99-070007,PEM102-OLD,Omni Channel,Actual,RS240021,Inside Group,MTS,P32412,Sale,2024-02-29,2024-01-04,2024-01-04,187881.0,300.0
VT-F-99-010820,PEM102-OLD,Tendering,Actual,VT240022,Inside Group,MTO,P15684,Sale,2024-03-22,2024-01-04,2024-01-04,5698644.16,152.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT230236,Inside Group,MTS,P3555,Sale,2024-06-28,2024-01-04,2024-01-04,854688.0,100.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT230385,Contractor,MTS,P1748,Sale,2024-01-10,2024-01-05,2023-11-22,21344.01,3.0
VT-F-99-010615,PEM102-OLD,Tendering,Actual,"VT240025,VT240097",Local Utility,MTO,P7550,Sale,2024-10-11,2024-01-08,2024-01-08,309190.8,12.0
CT-F-99-020509,PEM102-OLD,Omni Channel,Actual,CT240017,Inside Group,MTO,P7172,Sale,2024-02-15,2024-01-08,2024-01-08,26906.04,3.0
VT-F-99-010616,PEM102-OLD,Omni Channel,Actual,VT240026,Inside Group,MTO,P7428,Sale,2024-02-15,2024-01-08,2024-01-08,25131.72,3.0
CT-F-99-020524,PEM102-OLD,Omni Channel,Actual,CT230356,Smart Shop,MTS,P15310,Sale,2024-01-13,2024-01-08,2024-01-08,39135.93,3.0
CT-F-99-020702,PEM102-OLD,Omni Channel,Actual,CT240018,Contractor,MTO,P1767,Sale,2024-02-05,2024-01-08,2024-01-08,7559.64,1.0
CT-F-99-020524,PEM102-OLD,Omni Channel,Actual,CT230375,Contractor,MTS,P15310,Sale,2024-03-31,2024-01-08,2024-01-08,39135.93,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,,MTS,P15311,Sale,2024-01-19,2024-01-09,2024-01-09,20249.17,1.0
CT-F-99-020508,PEM102-OLD,Omni Channel,Actual,CT230361,,MTS,P1750,Sale,2024-01-19,2024-01-09,2024-01-09,24895.92,3.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT230385,Contractor,MTS,P1748,Sale,2024-01-29,2024-01-09,2024-01-09,21344.01,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Contractor,MTS,P15311,Sale,2024-03-22,2024-01-09,2024-01-09,20249.17,1.0
CT-F-99-020530,PEM102-OLD,Omni Channel,Actual,CT230404,Contractor,MTS,P15585,Sale,2024-03-22,2024-01-09,2024-01-09,45395.19,3.0
CT-F-99-020522,PEM102-OLD,Omni Channel,Actual,CT240020,Smart Shop,MTO,P15309,Sale,2024-03-15,2024-01-10,2024-01-10,40376.16,3.0
CT-F-99-020527,PEM102-OLD,Omni Channel,Actual,CT230217,Smart Shop,MTS,P15384,Sale,2024-02-29,2024-01-10,2024-01-10,40048.05,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Smart Shop,MTS,P15311,Sale,2024-03-15,2024-01-10,2024-01-10,20249.17,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT230231,Contractor,MTS,P15311,Sale,2024-01-29,2024-01-09,2024-01-09,20249.17,1.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240020,Contractor,MTS,P15837,Sale,2024-03-01,2024-01-11,2024-01-11,18916.8,1.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT230386,Contractor,MTS,P1749,Sale,2024-03-01,2024-01-11,2024-01-11,21757.5,3.0
