RevenueType,month,n_rows,total_qty,not_late_row_weighted,not_late_unit_weighted
Tendering,2025-08,6.0,744.0,0.16666666666666666,0.7473118279569892
Tendering,2025-10,2.0,13.0,0.0,0.0
Tendering,2025-11,1.0,40.0,1.0,1.0
Tendering,2025-12,7.0,912.0,0.8571428571428571,0.9769736842105263
Tendering,2026-01,2.0,1200.0,0.0,0.0
Tendering,2026-02,2.0,1200.0,0.5,0.5
Tendering,2026-03,5.0,1709.0,1.0,1.0
Tendering,2026-04,4.0,1298.0,1.0,1.0
Tendering,2026-06,4.0,5000.0,0.5,0.5
Tendering,2026-07,4.0,5000.0,0.5,0.5
Tendering,2026-08,6.0,4756.0,0.3333333333333333,0.46846089150546677
Tendering,2026-09,15.0,9820.0,0.8,0.3723014256619145
