year,n,not_late_pct_row_weighted,not_late_pct_unit_weighted,total_qty_assessable
2023,8845,74.98021481062747,55.436086879693434,1080897.0
2024,9509,94.08980965401199,97.2991419831917,1113498.0
2025,10194,95.58563861094763,98.88865000744208,1269807.0
2026,8336,95.96928982725528,98.29112966266945,1037469.0
