itemcode,createDate,qty,n_rows,revenue_type,linked_via_jobcode,linked_via_olmjobcode,linked
RS-F-99-070005,2024-01-22,3.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-22,1.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-01-22,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-01-22,2.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-01-22,3.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-01-22,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-01-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010715,2024-01-22,1.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-01-23,3.0,1,Omni Channel,True,True,True
RS-F-99-041001,2024-01-23,30.0,1,Omni Channel,True,True,True
RS-F-99-041015,2024-01-23,18.0,1,Omni Channel,True,True,True
RS-F-99-070002,2024-01-23,150.0,2,Omni Channel,True,True,True
RS-F-99-070003,2024-01-23,100.0,1,Omni Channel,True,True,True
RS-F-99-070004,2024-01-23,50.0,1,Omni Channel,True,True,True
RS-F-99-070005,2024-01-23,12.0,1,Omni Channel,True,True,True
RS-F-99-070007,2024-01-23,150.0,2,Omni Channel,True,True,True
CT-F-99-020505,2024-01-23,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-24,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-24,1.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-01-24,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-24,1.0,1,Omni Channel,True,True,True
CT-F-99-020530,2024-01-24,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-24,1.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-01-24,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-24,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-01-24,2.0,1,Omni Channel,True,True,True
VT-F-99-010209,2024-01-24,2.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-24,1.0,1,Omni Channel,True,True,True
CT-F-99-020714,2024-01-25,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-01-25,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-01-26,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-01-26,1.0,1,Omni Channel,True,True,True
